연번,건물형태,자치구코드,법정동코드,자치구,법정동,본번,부번,건물명,계약일,보증금,임대면적(㎡),층,건축년도
1,연립다세대,11470,10300,양천구,신월동,80,5,비에스하우징3차,20240426,21500,27.96,5,2019
2,오피스텔,11710,10500,송파구,석촌동,24,14,석촌호수 나인파크 B,20240426,27000,19.34,14,null
3,연립다세대,11530,10700,구로구,개봉동,307,55,영진빌라(307-55),20240426,19000,34.23,2,1986
4,연립다세대,11410,11100,서대문구,홍제동,361,17,유림아트빌라,20240426,6500,38.91,-1,1997
5,아파트,11590,10800,동작구,대방동,501,0,대림아파트,20240426,105000,84.92,10,1993
6,오피스텔,11440,12200,마포구,합정동,382,20,스퀘어리버뷰합정,20240426,30000,21.245,9,2021
7,아파트,11530,10200,구로구,구로동,74,30,현대,20240426,50000,56.49,15,1988
8,연립다세대,11650,10800,서초구,서초동,1507,54,상명리버빌,20240426,41500,62.02,4,2013
9,아파트,11500,10400,강서구,가양동,1461,0,가양2단지(성지),20240426,50000,39.6,15,1992
10,연립다세대,11620,10200,관악구,신림동,92,15,진영빌라,20240426,25000,50.01,2,2001
11,연립다세대,11440,10100,마포구,아현동,331,23,아현동다세대주택,20240425,20500,35,5,2003
12,아파트,11530,10200,구로구,구로동,685,147,현대상선,20240425,49500,64.55,10,1987
13,단독다가구,11590,10100,동작구,노량진동,,,,20240425,63000,108.75,,1968
14,연립다세대,11500,10300,강서구,화곡동,409,110,동우빌라,20240425,16000,37.24,2,1990
15,단독다가구,11260,10200,중랑구,상봉동,,,,20240425,33700,93.56,,1998
16,연립다세대,11650,10100,서초구,방배동,323,2,방배동스프링밸리,20240425,40000,29.83,2,2016
17,연립다세대,11470,10300,양천구,신월동,134,1,금호주택(134),20240425,20000,49.84,4,1997
18,오피스텔,11215,10700,광진구,화양동,21,20,광진캠퍼스시티,20240425,13800,16.083,8,2017
19,아파트,11230,10500,동대문구,답십리동,1008,0,청계와이즈노벨리아,20240425,86800,74.904,2,2017
20,연립다세대,11470,10300,양천구,신월동,460,30,동광주택(나),20240425,18000,39.67,2,1988
21,오피스텔,11230,10200,동대문구,용두동,100,1,랜드마크타워1,20240425,14700,28.9,17,2004
22,아파트,11350,10600,노원구,중계동,359,1,주공5,20240425,88000,76.51,8,1992
23,아파트,11350,10400,노원구,하계동,251,0,하계1청구,20240425,80000,84.6,11,1997
24,연립다세대,11500,10300,강서구,화곡동,56,104,스카이근린타운,20240425,14500,39.73,3,2014
25,연립다세대,11410,11800,서대문구,홍은동,265,224,동현아트빌라,20240425,10000,37.53,3,1993
26,아파트,11590,10700,동작구,사당동,105,0,극동(105),20240425,90000,119.91,6,1993
27,연립다세대,11500,10600,강서구,내발산동,690,14,진주캐슬,20240425,34800,55.75,4,2012
28,연립다세대,11260,10100,중랑구,면목동,620,61,현대하이츠빌다동,20240425,15000,53.8,4,2003
29,아파트,11530,10200,구로구,구로동,642,9,한신,20240425,51000,59.88,6,1988
30,아파트,11260,10600,중랑구,신내동,804,0,경남아너스빌,20240425,69000,84.98,11,2007
31,아파트,11305,10200,강북구,번동,242,0,주공1단지,20240425,50500,49.94,7,1991
32,연립다세대,11305,10400,강북구,우이동,52,4,성보파크빌라5차,20240425,18000,55.64,3,1996
33,오피스텔,11620,10100,관악구,봉천동,858,6,WD세븐스,20240425,25000,17.56,18,2020
34,단독다가구,11260,10500,중랑구,망우동,,,,20240425,67500,182.68,,1994
35,연립다세대,11290,13300,성북구,정릉동,375,7,아이라움,20240425,21000,40.09,2,2015
36,연립다세대,11320,10700,도봉구,창동,731,113,탑클래스,20240425,18500,27.73,5,2015
37,연립다세대,11740,10800,강동구,성내동,564,2,미랜드퀸,20240425,37500,60.09,3,2007
38,아파트,11500,10100,강서구,염창동,309,0,e편한세상염창,20240425,127000,84.952,15,2019
39,아파트,11380,10200,은평구,녹번동,282,0,힐스테이트녹번,20240425,75000,49.978,2,2019
40,연립다세대,11470,10200,양천구,목동,546,21,온세빌,20240425,31000,58.88,2,2007
41,연립다세대,11470,10200,양천구,목동,505,9,벽담주택(505-9),20240425,32000,75.36,2,2006
42,연립다세대,11500,10200,강서구,등촌동,365,211,이가채(365-211),20240425,21000,29.65,2,2015
43,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,58552,63.11,11,2024
44,아파트,11350,10300,노원구,공릉동,714,0,삼익4단지아파트,20240424,44000,59.04,4,1994
45,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,58552,63.11,10,2024
46,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,58864,65.15,7,2024
47,연립다세대,11620,10100,관악구,봉천동,196,88,낙성대파크빌,20240424,40200,63.59,1,2005
48,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,56420,63.11,4,2024
49,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,57096,67.22,6,2024
50,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,60684,67.18,14,2024
51,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,58864,65.15,8,2024
52,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,60840,65.15,14,2024
53,오피스텔,11650,10800,서초구,서초동,1595,2,(1595-2),20240424,17000,34,9,1990
54,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,57928,65.15,5,2024
55,연립다세대,11290,13800,성북구,장위동,219,193,남일빌라,20240424,25000,26.6,2,2017
56,연립다세대,11620,10100,관악구,봉천동,952,19,(952-19),20240424,20500,40.28,2,1989
57,연립다세대,11530,10600,구로구,고척동,161,44,운산하이츠,20240424,21500,44.09,4,2012
58,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,57304,65.15,4,2024
59,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,58084,67.22,8,2024
60,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,57044,63.11,5,2024
61,연립다세대,11620,10200,관악구,신림동,1565,2,문성빌라(1565-2),20240424,18500,49.55,3,1991
62,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,58760,67.22,11,2024
63,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,56680,65.15,3,2024
64,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,58760,67.22,12,2024
65,연립다세대,11500,10300,강서구,화곡동,969,13,우화그린(969-13),20240424,18000,29.78,2,2012
66,연립다세대,11320,10700,도봉구,창동,609,150,금강빌라11차,20240424,15000,29.16,3,1994
67,연립다세대,11320,10700,도봉구,창동,665,2,금성빌라2동,20240424,14000,41.04,3,1990
68,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,56004,65.15,2,2024
69,아파트,11560,13200,영등포구,신길동,4964,0,신길센트럴자이아파트,20240424,116000,59.98,18,2021
70,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,58084,67.22,7,2024
71,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,59384,67.18,11,2024
72,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,58864,65.15,9,2024
73,오피스텔,11440,12500,마포구,성산동,590,4,KCC상암스튜디오380,20240424,14900,20.35,11,2014
74,아파트,11350,10400,노원구,하계동,271,3,극동,20240424,47000,55.72,4,1988
75,연립다세대,11590,10900,동작구,신대방동,601,35,신대방빌,20240424,15000,15.89,4,2012
76,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,59540,65.15,11,2024
77,연립다세대,11470,10300,양천구,신월동,195,36,동보빌라,20240424,13000,36.87,1,1990
78,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,58760,67.18,8,2024
79,오피스텔,11680,10100,강남구,역삼동,824,9,강남역투웨니퍼스트101동,20240424,26500,18.49,14,2019
80,연립다세대,11440,12000,마포구,서교동,477,15,그린빌라,20240424,41500,63.21,3,2000
81,연립다세대,11620,10200,관악구,신림동,535,22,정명쉐르빌(535-22),20240424,20000,52,1,2002
82,연립다세대,11380,10300,은평구,불광동,445,100,충효하이트빌라,20240424,24300,45.5,2,1989
83,연립다세대,11200,11100,성동구,금호동,131,0,(131-0),20240424,56000,31.98,4,2008
84,아파트,11590,10700,동작구,사당동,1159,0,래미안로이파크,20240424,126000,59.98,7,2018
85,아파트,11170,11500,용산구,산천동,204,0,한강타운,20240424,82000,59.69,12,2001
86,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,59072,67.22,13,2024
87,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,55172,63.11,2,2024
88,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,59852,65.15,13,2024
89,오피스텔,11680,11800,강남구,도곡동,467,19,현대비젼21,20240424,30000,41.28,6,1999
90,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,56472,67.18,3,2024
91,연립다세대,11590,10700,동작구,사당동,303,13,대하빌라,20240424,48500,51.06,1,1994
92,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,57096,67.22,5,2024
93,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,59384,67.18,12,2024
94,오피스텔,11545,10300,금천구,시흥동,987,9,FORET 987,20240424,57096,67.18,4,2024
95,아파트,11620,10200,관악구,신림동,551,42,동훈CDI,20240424,55000,84.39,2,2010
96,연립다세대,11545,10200,금천구,독산동,905,31,지오빌,20240424,25700,36.93,3,2013
97,아파트,11320,10500,도봉구,쌍문동,59,0,한양2,20240424,43000,76.92,2,1988
98,오피스텔,11680,11800,강남구,도곡동,467,19,현대비젼21,20240424,35000,50.12,6,1999
