연번,자치구,법정동,사업장명,업태구분명
1,금천구,산동,마리오아울렛 1관,쇼핑센터
2,금천구,산동,마리오아울렛 3관,쇼핑센터
4,양천구,목동,롯데슈퍼 목동2점,구분없음
5,영등포구,당산동,영등포유통상가,그 밖의 대규모점포
6,서초구,방배동,롯데슈퍼 방배2점,대형마트
7,동대문구,장안동,GS THE FRESH 동대문장안점,구분없음
8,강남구,압구정동,갤러리아백화점(동관),백화점
9,중랑구,망우동,GS THE FRESH 중랑망우점,그 밖의 대규모점포
10,서대문구,홍제동,롯데슈퍼 홍제2점,구분없음
11,강서구,화곡동,씨에스유통 (롯데슈퍼화곡2점),그 밖의 대규모점포
12,서대문구,홍제동,롯데슈퍼 유진점,구분없음
13,서대문구,홍제동,유진상가,시장
14,강남구,압구정동,갤러리아백화점(서관),백화점
15,동대문구,장안동,GS THE FRESH 동대문장안점,구분없음
16,영등포구,신길동,홈플러스(주) 익스프레스 신길3점,구분없음
17,성북구,길음동,이마트에브리데이 길음점,구분없음
18,송파구,문정동,가든파이브 툴,쇼핑센터
19,성북구,길음동,이마트에브리데이 길음점,구분없음
20,중구,충무동,롯데쇼핑(주)롯데슈퍼명동점,그 밖의 대규모점포
21,강동구,성내동,이마트에브리데이 성내점,구분없음
22,영등포구,문래동,GS THE FRESH 문래점,구분없음
23,강남구,삼성동,현대백화점 무역센터점,백화점
24,관악구,봉천동,GS THE FRESH 관악은천점,구분없음
25,서대문구,대현동,GS THE FRESH 신촌이대역점,그 밖의 대규모점포
26,서대문구,남좌동,이마트에브리데이 명지대점,구분없음
27,서초구,반포동,신세계백화점 강남점,백화점
28,강서구,화곡동,롯데쇼핑(주)롯데슈퍼화곡점,그 밖의 대규모점포
29,송파구,거여동,GS THE FRESH 송파시그니처점,구분없음
30,강서구,방화동,롯데쇼핑(주)롯데슈퍼개화산점,그 밖의 대규모점포
31,송파구,문정동,GS THE FRESH 송파하비오점,구분없음
32,양천구,신정동,홈플러스 익스프레스 신정4점,구분없음
33,금천구,산동,현대아울렛,쇼핑센터
34,강동구,길동,롯데쇼핑㈜롯데슈퍼길동점,구분없음
35,노원구,상계동,상계역전종합상가,쇼핑센터
36,구로구,구로동,이랜드리테일 NC구로점,백화점
37,강북구,미아동,롯데쇼핑(주) 롯데마트 삼양점,복합쇼핑몰
38,용산구,한강동,나진전자월드상가,전문점
39,관악구,봉천동,지에스 더 프레시(GS THE FRESH) 관악청림점,구분없음
40,서대문구,홍은동,롯데프레시 홍은점,구분없음
41,노원구,하계동,세이브존,그 밖의 대규모점포
