연번,자치구,법정동,공원명
1,중구,예장동,남산도시자연공원
2,강동구,길동,길동생태공원
4,성동구,성수동,서울숲
5,마포구,상암동,월드컵공원
6,종로구,종로동,광화문시민열린마당
7,은평구,진관동,진관근린공원(구파발폭포)
8,영등포구,영등포동,중마루근린공원
9,성동구,금호동,응봉공원
10,강서구,등촌동,매화근린공원
11,성동구,성수동,성수근린공원
12,강동구,명일동,샛마을근린공원
13,영등포구,여의도동,여의도근린공원
14,동대문구,답십리동,간데메근린공원
15,중구,을지로동,훈련원근린공원
16,영등포구,광장동,영등포근린공원
17,동작구,신대방동,보라매근린공원
18,광진구,능동,어린이대공원
19,강동구,천호동,천호근린공원
20,용산구,용산동,용산가족공원
21,서대문구,현저동,독립근린공원
22,종로구,동숭동,낙산근린공원
23,서초구,양재동,양재시민의숲
24,관악구,봉천동,관악산도시자연공원
25,용산구,효창동,효창근린공원
26,금천구,독산동,감로천생태공원(관악산)
27,성북구,돈암동,개운산근린공원
28,구로구,오류동,개웅산근린공원
29,종로구,신문동,경희궁
30,동작구,사당동,국립현충원
31,양천구,신정동,계남근린공원
32,구로구,고척동,고척근린공원
33,양천구,반포동,파리근린공원
34,강서구,가양동,허준공원
35,서대문구,연희동,궁동근린공원
36,강서구,가양동,궁산근린공원
37,동작구,사당동,까치산근린공원
38,강서구,방화동,꿩고개근린공원
39,동작구,대방동,노량진공원
40,동대문구,답십리동,답십리근린공원
41,강남구,일원동,대모산도시자연공원
42,종로구,종로동,탑골근린공원
43,양천구,신정동,갈산근린공원
44,송파구,마천동,천마근린공원
45,강남구,도곡동,도곡근린공원
46,강남구,신사동,도산근린공원
47,성북구,석관동,청량공원
48,도봉구,창동,초안산근린공원
49,강동구,고덕동,동명근린공원
50,종로구,동숭동,마로니에공원
51,영등포구,여의도동,자매근린공원
52,송파구,장지동,장지근린공원
53,강동구,상일동,명일근린공원
54,강서구,방화동,방화근린공원
55,송파구,잠실동,아시아근린공원
56,동대문구,전농동,배봉산근린공원
57,서대문구,홍제동,안산도시자연공원
58,강서구,염창동,염창근린공원
59,서대문구,홍은동,백련근린공원
60,송파구,오금동,오금근린공원
61,강북구,번동,오동근린공원
62,은평구,구산동,봉산도시자연공원
63,구로구,개봉동,온수도시자연공원
64,강남구,삼성동,봉은공원
65,송파구,방이동,올림픽공원
66,종로구,계동,와룡근린공원
67,중랑구,묵동,봉화산근린공원
68,종로구,부암동,북악산도시자연공원
69,강북구,구기동,북한산국립공원
70,마포구,합정동,외국인묘지공원
71,은평구,불광동,불광근린공원
72,노원구,하계동,불암산도시자연공원
73,중랑구,면목동,용마폭포공원
74,동작구,노량진동,사육신공원
75,양천구,목동,용왕산근린공원
76,종로구,사직동,사직근린공원
77,강서구,내발산동,우장산근린공원
78,동작구,사당동,삼일근린공원
79,종로구,삼청동,삼청근린공원
80,종로구,옥인동,인왕산도시자연공원
81,동작구,상도동,상도근린공원
82,강동구,동남로,일자산도시자연공원
83,도봉구,쌍문동,쌍문근린공원
84,노원구,상계동,수락산도시자연공원
85,송파구,잠실동,송파나루근린공원(석촌호수)
86,영등포구,당산동,선유도근린공원
87,중구,아현동,손기정체육공원
88,성북구,돈암동,성북근린공원
89,강서구,화곡동,봉제산공원
90,도봉구,도봉동,서울창포원
91,강북구,미아동,북서울꿈의숲
92,양천구,신월동,서서울호수공원
93,중랑구,망우동,중랑캠핑숲
94,강북구,우이동,솔밭근린공원
95,금천구,독산동,금천체육공원(관악산)
96,금천구,시흥동,금천폭포근린공원
97,금천구,독산동,만수천공원(관악산)
98,도봉구,방학동,발바닥공원
99,도봉구,창동,월천근린공원
100,동대문구,용두동,용두근린공원
101,마포구,상암동,상암근린공원
102,마포구,창전동,와우근린공원
103,성동구,금호동,금호근린공원
104,성동구,옥수동,달맞이근린공원
105,송파구,문정동,문정근린공원
106,서초구,양재동 ,문화예술공원
107,종로구,세종동,세종로공원
108,관악구,대학동,샘말공원(관악산)
109,도봉구,창동,초안산생태공원
110,구로구,항동,푸른수목원
111,은평구,구파발동,서오능도시자연공원
112,서초구,원지동,청계산도시자연공원
113,강서구,개화동,개화근린공원
114,광진구,광장동,아차산생태공원
115,서초구,내곡동,인능산도시자연공원
116,서초구,염곡동,구룡산
117,서초구,우면동,우면산도시자연공원
118,은평구,진관동,향림근린공원
119,은평구,신사동,신사근린공원
120,중구,봉래동,문화역 서울284
121,강남구,수서동,광평근린공원
122,강남구,청담동,청담근린공원
123,강동구,둔촌동,허브천문공원
124,은평구,갈현동,연신내물빛공원
125,중랑구,망우동,나들이근린공원
126,종로구,숭인동,숭인근린공원
127,중랑구,면목동,서일대뒷산공원
128,중랑구,면목동,용마도시자연공원(사가정공원)
129,마포구,성산동,문화비축기지
130,노원구,공릉동,경춘선숲길
131,강남구,율현동,율현공원
132,중구,봉래동,서울로7017
