자치구코드,법정동코드,자치구명,법정동명,본번,부번,주소,사업자상호
11680,1168010500,강남구,삼성동,143,39,"서울특별시 강남구 테헤란로 425 5층[5011호](삼성동, 신일빌딩)",부강공인중개사사무소
11530,1153010800,구로구,오류동,6,344,서울특별시 구로구 고척로1길 5 ,대신공인중개사사무소
11530,1153010200,구로구,구로동,212,30,서울특별시 구로구 디지털로 273 106호(구로동),트윈공인중개사사무소
11530,1153010200,구로구,구로동,314,0,"서울특별시 구로구 구로중앙로7길 28 101호(구로동, 극동상가)",금성공인중개사사무소
11530,1153010200,구로구,구로동,725,8,서울특별시 구로구 구로동로 117 1층 일부(구로동),백초공인중개사사무소
11530,1153010200,구로구,구로동,1129,3,"서울특별시 구로구 디지털로32가길 46 102호(구로동, 로얄오피스텔)",로얄공인중개사사무소
11530,1153010200,구로구,구로동,725,8,서울특별시 구로구 구로동로 117 제1층일부(구로동),뉴타운공인중개사사무소
11530,1153010700,구로구,개봉동,126,38,서울특별시 구로구 경인로31길 108 1층(개봉동),푸르지오탑공인중개사사무소
11530,1153010700,구로구,개봉동,315,9,서울특별시 구로구 개봉로1다길 13 2층(개봉동),테라공인중개사사무소
11500,1150010500,강서구,마곡동,798,6,서울특별시 강서구 마곡중앙로 59-17 719호 (마곡동),더채움공인중개사사무소
11500,1150010500,강서구,마곡동,801,1,서울특별시 강서구 공항대로 242 1315호(마곡동),절찬공인중개사사무소
11500,1150010200,강서구,등촌동,648,5,"서울특별시 강서구 공항대로59가길 14 202호(등촌동, 아임2030 등촌역)",아임2030공인중개사사무소
11500,1150010300,강서구,화곡동,354,38,"서울특별시 강서구 강서로17다길 5-24 101호(화곡동, 로빈하우스)",로빈공인중개사사무소
11500,1150010500,강서구,마곡동,800,5,"서울특별시 강서구 공항대로 228 1011호(마곡동, 리더스타워마곡)",형제공인중개사사무소
11500,1150010100,강서구,염창동,267,18,"서울특별시 강서구 양천로 646-31 6층(염창동, 필훈빌딩)",주식회사 온누리부동산중개법인
11500,1150010500,강서구,마곡동,799,4,서울특별시 강서구 공항대로 200 806호(마곡동),원one부동산공인중개사사무소
11500,1150010500,강서구,마곡동,757,3,서울특별시 강서구 마곡중앙5로1길 20 122호(마곡동),더랜드공인중개사사무소
11500,1150010800,강서구,공항동,1350,5,서울특별시 강서구 방화대로6라길 15 (공항동),온누리공인중개사사무소
11500,1150010600,강서구,내발산동,666,0,서울특별시 강서구 강서로 328 (내발산동),부동산씨티공인중개사사무소
11500,1150010200,강서구,등촌동,527,1,서울특별시 강서구 등촌로53길 13 (등촌동),스피드공인중개사사무소
11500,1150010400,강서구,가양동,1485,0,"서울특별시 강서구 허준로 175 상가동 102호 (가양동, 가양6단지㈕)",한양공인중개사사무소
11500,1150010500,강서구,마곡동,429,0,"서울특별시 강서구 양천로47길 118 상가동 101호 (마곡동, 벽산㈕)",벽산공인중개사사무소
11500,1150010300,강서구,화곡동,1091,0,"서울특별시 강서구 화곡로13길 107 상가B동 109호 (화곡동, 화곡푸르지오㈕)",이화공인중개사사무소
11500,1150010100,강서구,염창동,292,1,"서울특별시 강서구 양천로69길 58 상가동 104호 (염창동, 동아1차㈕)",부동산월드공인중개사사무소
11500,1150010100,강서구,염창동,250,0,서울특별시 강서구 양천로 691-12 (염창동),희망공인중개사사무소
11500,1150010300,강서구,화곡동,800,9,서울특별시 강서구 곰달래로 243 (화곡동),한빛공인중개사사무소
11500,1150010300,강서구,화곡동,841,24,서울특별시 강서구 곰달래로50길 25 (화곡동),동화공인중개사사무소
